,mape,rmse,mse
2,3.4909193710621205,1306.704178987834,1707475.811384269
5,3.166145188656321,1254.4846614890967,1573731.7659114136
10,3.222665111459381,1238.9872719715554,1535089.4601075172
15,3.1694565503054677,1227.2075656610111,1506038.409215625
20,3.213081169433521,1229.590142708027,1511891.9190447466
25,3.240407964377059,1227.928259341413,1507807.8100892324
35,3.223076656464979,1223.440038894637,1496805.5287705106
50,3.2487106986197882,1226.3971068814285,1504049.863767138
75,3.268257869705344,1240.4438284758032,1538700.8916037078
100,3.2798744960713986,1245.0899315507747,1550248.9376491127
150,3.515196547610512,1270.2399281573876,1613509.475085285
200,3.5916044606728668,1262.1399871391513,1592997.3471356172
